a;b;c;d;e
89;2月5日;旬芸人キス我慢 未公開スペシャル;日村勇紀（バナナマン）、はんにゃ、狩野英孝、サンドウィッチマン、春咲あずみ、麻美ゆま、明日花キララ;2009年
90;2月12日;芸能界ストイック暗記王6;TKO、ナイツ、深澤ゆうき、田中涼子、藤井梨花、原紗央莉、はなわ;2009年
91;2月19日;第5回M女オーディション;有吉弘行、児玉菜々子、松本さゆき;2009年
92;3月5日;準レギュラー争奪 サバイバルオーディション;相澤仁美、青島あきな、大友さゆり;2009年
93;3月12日;第7回ヒドイ女サミット;井戸田潤（スピードワゴン）、狩野英孝、杉本有美;2009年
94;3月19日;第1回非・吉本芸人 団体芸サミット;バナナマン、オードリー、キングオブコメディ、小島よしお;2009年
95;3月26日;第1回非・吉本芸人 団体芸サミット;バナナマン、オードリー、キングオブコメディ、小島よしお;2009年
96;4月2日;劇団ひとり ひどいじゃない裁判;バナナマン、大沢あかね、みひろ;2009年
97;4月9日;DVD2巻同時発売記念!アイドルのおっぱいを見せてもらおう!!;バナナマン、手島優、次原かな、大竹一樹（さまぁ〜ず）;2009年
98;4月16日;第2回非・吉本芸人 団体芸サミット（前編）;バナナマン、オードリー、キングオブコメディ、小島よしお;2009年
99;4月23日;マジ歌シンガー CDデビューへの道;バナナマン、東京03;2009年
99;4月23日;第2回非・吉本芸人 団体芸サミット（後編）;バナナマン、オードリー、キングオブコメディ、小島よしお;2009年
100;5月7日;第6回M女オーディション;有吉弘行、田代さやか;2009年
100;5月7日;東京03角田晃広 マジ歌CDデビューへの道;バナナマン、東京03;2009年
101;5月14日;仲直りフレンドパーク2;有吉弘行、谷桃子;2009年
102;5月21日;祝!ゴッドタン100回記念パーティー;相澤仁美、橘麗美;2009年
102;5月21日;DVD2枚同時発売記念 ローソンでDVDをPRしよう!;角田晃広（東京03）;2009年
103;5月28日;第3回非・吉本芸人 団体芸サミット;バナナマン、オードリー、キングオブコメディ、アンガールズ;2009年
104;6月4日;芸能界ストイック暗記王7;庄司智春（品川庄司）、スピードワゴン、秋山竜次（ロバート）、深澤ゆうき、田中涼子、藤井梨花、藤井シェリー;2009年
105;6月11日;芸能界ストイック暗記王7;庄司智春（品川庄司）、スピードワゴン、秋山竜次（ロバート）、深澤ゆうき、田中涼子、藤井梨花、藤井シェリー;2009年
106;6月18日;マジ歌DVD発売記念 角ちゃんモテモテ大作戦;角田晃広（東京03）、鎌田奈津美、西内裕美;2009年
107;6月22日;第6回芸人マジ歌選手権;バナナマン、東京03、秋山竜次（ロバート）、大島美幸・黒沢かずこ（森三中）、香田晋、上原美優、有吉弘行;2009年
108;6月25日;アメトーーク出演 緊急反省会!!;-;2009年
108;6月25日;第4回非・吉本芸人 団体芸サミット;バナナマン、オードリー、アンガールズ、キングオブコメディ;2009年
109;7月9日;調子が良い時こそ気を引き締めよう!ゴッドタン緊急反省会;折原みか;2009年
109;7月9日;完全未公開!マジ歌シンガーの舞台裏;-;2009年
110;7月16日;第1回ドスベリサミット;サバンナ、辰巳奈都子;2009年
111;7月23日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、木口亜矢、さとう里香;2009年
112;7月30日;2週ぶちぬき!まさかのマジ歌ライブ;NA;2009年
113;8月6日;2週ぶちぬき!まさかのマジ歌ライブ;NA;2009年
114;8月13日;キモンスターズ・チャンプ3;バナナマン、オードリー;2009年
115;8月20日;ザ・大声クイズ;インパルス、佐野夏芽;2009年
116;8月27日;第2回ドスベリサミット;有吉弘行、後藤輝基（フットボールアワー）、次原かな;2009年
117;9月3日;芸能界ストイック暗記王8;響、ハリセンボン、キングオブコメディ、深澤ゆうき、田中涼子、藤井梨花、原紗央莉;2009年
118;9月10日;芸能界ストイック暗記王8;響、ハリセンボン、キングオブコメディ、深澤ゆうき、田中涼子、藤井梨花、原紗央莉;2009年
119;9月24日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、加藤沙耶香;2009年
120;10月1日;角ちゃんCDデビュー&東京03コント日本一おめでとう記念!アイドルにおっぱいを見せてもらおう!;バナナマン、東京03、杉麻李沙、手島優、辰巳奈都子;2009年
121;10月8日;角ちゃんCDデビュー&東京03コント日本一おめでとう記念!アイドルにおっぱいを見せてもらおう!;バナナマン、東京03、杉麻李沙、手島優、辰巳奈都子;2009年
122;10月15日;ザ・大声クイズ2;オードリー、浜田ブリトニー;2009年
123;10月22日;第1回谷桃子王決定戦;有吉弘行、後藤輝基（フットボールアワー）、谷桃子;2009年
124;10月29日;東京03の使い方発表会;バナナマン、東京03;2009年
125;11月5日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、西舘さをり;2009年
126;11月12日;第3回ドスベリサミット;U字工事、大島美幸（森三中）、折山みゆ;2009年
127;11月19日;ザ・大声クイズ3;ブラックマヨネーズ、愛川ゆず季;2009年
128;11月26日;ゴッドタン アイドルお宝映像GP;-;2009年
129;12月3日;第2回谷桃子王決定戦;有吉弘行、伊達みきお（サンドウィッチマン）、谷桃子;2009年
130;12月10日;第8回ヒドイ女サミット;島田秀平、山里亮太（南海キャンディーズ）、さとう里香;2009年
131;12月17日;大告白忘年会;バナナマン;2009年
132;12月24日;第5回キス我慢選手権ファイナル（前編）;バナナマン、東京03、濱口優（よゐこ）、瑠川リナ、天海つばさ;2009年
133;1月4日;第5回キス我慢選手権ファイナル（後編）;バナナマン、東京03、後藤輝基（フットボールアワー）、横山美雪、藤浦めぐ、並木優、みひろ、成松慶彦、入江雅人、みのすけ;2010年
134;1月7日;第1回松丸プロデュース王決定戦;バナナマン;2010年
135;1月14日;第1回エロ哀しい話座談会;小沢一敬（スピードワゴン）;2010年
136;1月21日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、一戸愛子;2010年
137;1月28日;DVD発売&SP大成功記念緊急企画 雑ガマン選手権;バナナマン、東京03、栗林里莉、石橋ゆう子;2010年
138;2月4日;チャーハン具材ドラフト会議;バナナマン;2010年
139;2月11日;芸能界ストイック暗記王9;オードリー、ロザン、大島美幸（森三中）、深澤ゆうき、田中涼子、藤井梨花、折山みゆ、米田弥央;2010年
140;2月18日;芸能界ストイック暗記王9;オードリー、ロザン、大島美幸（森三中）、深澤ゆうき、田中涼子、藤井梨花、折山みゆ、米田弥央;2010年
141;2月25日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、ローラ;2010年
142;3月4日;第4回ドスベリサミット;島田秀平、渡部建（アンジャッシュ）、西舘さをり;2010年
143;3月11日;DVD発売記念シークレットライブ;-;2010年
144;3月18日;第1回タニームマッチ2010;オリエンタルラジオ、谷桃子;2010年
145;3月25日;超危険VTRスペシャル;-;2010年
145;3月25日;芸能界視聴率キング;蛭子能収、八田亜矢子;2010年
146;4月1日;もう一度みたい!キャラクターランキング;-;2010年
147;4月8日;第9回ヒドイ女サミット;カンニング竹山、ロザン、西田麻衣;2010年
148;4月15日;東京ドスベリサミット;バナナマン、バカリズム、オードリー、東京03;2010年
149;4月22日;東京ドスベリサミット;バナナマン、バカリズム、オードリー、東京03;2010年
150;4月29日;ザ・大声クイズ4;山里亮太（南海キャンディーズ）、鈴木拓（ドランクドラゴン）、西舘さをり;2010年
151;5月6日;松丸たるんでんじゃないの裁判;ハリセンボン;2010年
152;5月13日;第2回エロ哀しい話座談会;小沢一敬（スピードワゴン）、山里亮太（南海キャンディーズ）;2010年
153;5月20日;パスタの具材ドラフト会議;バナナマン、上原美優;2010年
154;5月27日;第1回カマデミー賞;バナナマン、小沢一敬（スピードワゴン）、今野浩喜（キングオブコメディ）;2010年
155;6月3日;第1回芸能界キレ女塾;バカリズム、吉木りさ;2010年
156;6月10日;ヒドイ女サミット+αスペシャル;-;2010年
157;6月17日;芸能界ストイック暗記王10;東野幸治、オードリー、深澤ゆうき、田中涼子、藤井梨花、横山美雪、キュートン、米田弥央;2010年
158;6月24日;芸能界ストイック暗記王10;東野幸治、オードリー、深澤ゆうき、田中涼子、藤井梨花、横山美雪、キュートン、米田弥央;2010年
159;7月1日;第2回芸能界キレ女塾;バカリズム、小栗あずき;2010年
160;7月8日;第1回小木学会;バナナマン、児嶋一哉（アンジャッシュ）;2010年
161;7月15日;第2回タニームマッチ2010;山里亮太（南海キャンディーズ）、谷桃子;2010年
162;7月22日;第1回芸人ラジオサミット;バナナマン、サンドウィッチマン;2010年
163;7月29日;第7回芸人マジ歌選手権 前夜祭;-;2010年
164;7月29日;第7回芸人マジ歌選手権;バナナマン、東京03、秋山竜次（ロバート）、大島美幸・黒沢かずこ（森三中）、野性爆弾、香田晋、小倉優子、伊達みきお（サンドウィッチマン）;2010年
165;8月5日;第7回芸人マジ歌選手権 完全版SP;バナナマン、東京03、秋山竜次（ロバート）、大島美幸・黒沢かずこ（森三中）、野性爆弾、香田晋、小倉優子、伊達みきお（サンドウィッチマン）;2010年
166;8月12日;キモンスターズチャンプ4;バナナマン、カリカ;2010年
167;8月19日;仲直りフレンドパーク3;鈴木拓（ドランクドラゴン）、山里亮太（南海キャンディーズ）、深澤ゆうき;2010年
168;8月26日;第3回芸能界キレ女塾;バカリズム、小林さり;2010年
169;9月2日;第1回ゲーセワニュース;久田将義、吉田豪;2010年
170;9月9日;DVD発売記念!アイドルのおっぱいを見せてもらおう!;バナナマン、島田秀平、吉木りさ、杉原杏璃、手島優;2010年
171;9月16日;DVD発売記念!アイドルのおっぱいを見せてもらおう!;バナナマン、島田秀平、吉木りさ、杉原杏璃、手島優;2010年
172;9月23日;第4回芸能界キレ女塾;バカリズム、佐山彩香;2010年
173;9月30日;第2回芸人ラジオサミット;オードリー、渡部建（アンジャッシュ）;2010年
174;10月7日;第2回ゲーセワニュース;久田将義、吉田豪、小塩隆之;2010年
175;10月14日;ザ・大声クイズ5 カラんだ事ない芸人SP;ハライチ、パンクブーブー、西舘さをり;2010年
176;10月21日;怒りオネェ;バナナマン、杉原杏璃;2010年
177;10月28日;第2回松丸プロデュース王決定戦;設楽統（バナナマン）;2010年
178;11月4日;ねるとん谷鯨団;谷桃子、カンニング竹山;2010年
179;11月11日;第3回ゲーセワニュース;久田将義、吉田豪;2010年
180;11月18日;第1回勝手に新曲発表会;バナナマン、東京03、大地洋輔（ダイノジ）、デビテツヤ;2010年
181;11月25日;第1回勝手に新曲発表会;バナナマン、東京03、大地洋輔（ダイノジ）、デビテツヤ;2010年
182;12月2日;キングオブコメディの使い方発表会;バナナマン、東京03、キングオブコメディ、石橋ゆう子;2010年
183;12月9日;怒りオネェ2;バナナマン、辰巳奈都子;2010年
184;12月16日;ザ・大声クイズ6;アンガールズ、杉ありさ;2010年
185;12月23日;聖なる夜にエロ哀しい話座談会;小沢一敬（スピードワゴン）、澤部佑（ハライチ）、西舘さをり;2010年
186;1月3日;第8回芸人マジ歌選手権;バナナマン、東京03、秋山竜次（ロバート）、大地洋輔（ダイノジ）、山里亮太（南海キャンディーズ）、渡部建（アンジャッシュ）、森山直太朗、クリス松村、重盛さと美;2011年
187;1月6日;第8回芸人マジ歌選手権 完全版SP;バナナマン、東京03、秋山竜次（ロバート）、大地洋輔（ダイノジ）、山里亮太（南海キャンディーズ）、渡部建（アンジャッシュ）、森山直太朗、クリス松村、重盛さと美;2011年
188;1月13日;第10回ヒドイ女サミット;山里亮太（南海キャンディーズ）、吉村崇（平成ノブシコブシ）、吉木りさ;2011年
189;1月20日;第5回芸能界キレ女塾;バカリズム、高松美里;2011年
190;1月27日;気をそらせ隊 新メンバーオーディション;深澤ゆうき、田中涼子、南まりか、西舘さをり;2011年
191;2月3日;誰も教えてくれない授業;我が家、村山ひとし、吉木りさ;2011年
192;2月10日;怒りオネェ3;バナナマン、カンニング竹山、栗山夢衣、及川奈央、伊藤隆行;2011年
193;2月17日;悪ふざけアウトテイク傑作選;-;2011年
194;2月24日;キモンスターズオーディション;バナナマン、スリムクラブ、サンドウィッチマン、キングオブコメディ;2011年
195;3月3日;第6回芸能界キレ女塾;バカリズム、綱島恵里香;2011年
196;3月10日;第1回照れカワ芸人更生プログラム;オードリー、山里亮太（南海キャンディーズ）、スマイレージ、爆乳ヤンキー（手島優、MAO、北条まみ）、西舘さをり;2011年
197;3月24日;DVD発売記念 マジ歌ランキング;-;2011年
198;3月31日;ザ・大声クイズ7;後藤輝基（フットボールアワー）、鈴木拓（ドランクドラゴン）、辰巳奈都子;2011年
199;4月7日;第1回カッコイイサミット;ダイノジ;2011年
200;4月14日;怒りオネェ4;バナナマン、クリス松村;2011年
201;4月21日;マジ歌フェスティバルSP;バナナマン、東京03、秋山竜次（ロバート）、大地洋輔（ダイノジ）、大島美幸・黒沢かずこ（森三中）、深澤ゆうき、田中涼子、藤井梨花、谷桃子;2011年
202;4月28日;第4回ゲーセワニュース;久田将義、吉田豪;2011年
203;5月5日;200回記念!ゴッドタンを彩った女神たち;-;2011年
204;5月19日;見切り発車情報ステーション;重盛さと美、春名風花、ヨシナガ、下関マグロ;2011年
